,,"Fe 62 : Iron Ore Fines, CNF Rizhao, China : Fines, Fe 62% (Australia Origin)"," Coking Coal, FOB Hay Point, Australia : HCC 64 Mid Vol",HRC-FOB-Rizhao-China-fob-USD 2.5 mm,"Platts North European HRC, EXW Ruhr $/t",HRC-FOB-Black-Sea-Russia-2.5 MM,Raw Material Cost factor I/O*1.6 + Coking coal *0.65,weighted average Price of imported hrc,CRC Mumbai,Infrastructure & Construction Goods,CPI Inflation,Automobile (Passanger Vehicle Sales),India weekly HRC Imports t,India weekly Exports HRC t,Hrc Production in t,Hms 80 20 Mumbai,Hrc landed Price Mumbai,Indian GDP in inr,usd to inr,India News-Based Policy Uncertainty Index
04/01/2010,2,4888.757187,10125.88187,23224.4997,24740.29312,23572.8672,11357.18,23224.4997,37245.69911,86.82400116,74.96987481,33407.5,63670.5,3046.0425,332567.11,17304.06034,31920,1724691.75,46.4489994,77.45385071
11/01/2010,3,5030.673083,9932.40712,23236.36528,24716.34087,23805.88404,11357.18,23236.36528,36357.03571,86.82400116,74.96987481,33407.5,63670.5,3046.0425,332567.11,16774.66674,31080,1724691.75,45.56150055,77.45385071
18/01/2010,4,5284.375499,9967.069206,24003.263,25565.43193,23888.96174,11357.18,24003.263,36843.68472,86.82400116,74.96987481,33407.5,63670.5,3046.0425,332567.11,17064.57276,31540,1724691.75,45.72050095,77.45385071
25/01/2010,5,5568.034969,10052.85207,24209.85017,25492.97223,24555.70517,11357.18,24209.85017,37573.65823,86.82400116,74.96987481,33407.5,63670.5,3046.0425,332567.11,17499.43179,32230,1724691.75,46.11400032,77.45385071
01/02/2010,6,5816.16049,10070.07376,24251.32442,26618.18901,24597.77191,11422.115,24251.32442,37573.65823,90.32917117,74.9503003,33407.5,63849.25,5840.1525,304634.04,17499.43179,32230,1724691.75,46.19299889,129.568995
08/02/2010,7,5902.993227,9835.401794,24530.09949,26578.96553,24880.52948,11422.115,24530.09949,37573.65823,90.32917117,74.9503003,33407.5,63849.25,5840.1525,304634.04,17499.43179,32230,1724691.75,46.72399902,129.568995
15/02/2010,8,5877.966461,9412.907282,25116.54396,26095.09219,26662.1758,11422.115,25116.54396,37573.65823,90.32917117,74.9503003,33407.5,63849.25,5840.1525,304634.04,17499.43179,32230,1724691.75,46.36900139,129.568995
22/02/2010,9,5873.304505,9027.50544,25781.87674,26088.07772,26551.48659,11422.115,25781.87674,37573.65823,90.32917117,74.9503003,33407.5,63849.25,5840.1525,304634.04,17499.43179,32230,1724691.75,46.17649841,129.568995
01/03/2010,10,5868.477985,8644.991859,26440.79957,27439.53525,26440.79957,10252.7,26440.79957,37573.65823,92.21601784,76.27104525,26726,65642.75,10584.4175,341566.47,17499.43179,32230,1379753.4,45.98399925,96.48685458
08/03/2010,11,5917.925389,8554.940201,26165.37561,27463.77891,26165.37561,10252.7,26165.37561,40006.90327,92.21601784,76.27104525,26726,65642.75,10584.4175,341566.47,18948.96189,34530,1379753.4,45.50500107,96.48685458
15/03/2010,12,6031.549879,8559.263977,26633.87993,28711.58207,26178.59993,10252.7,26633.87993,40006.90327,92.21601784,76.27104525,26726,65642.75,10584.4175,341566.47,18948.96189,34530,1379753.4,45.52799988,96.48685458
22/03/2010,13,6120.731977,8529.372261,27221.40083,29167.04138,29489.8509,10252.7,27221.40083,40493.55228,92.21601784,76.27104525,26726,65642.75,10584.4175,341566.47,19238.86791,34990,1379753.4,45.36900139,96.48685458
29/03/2010,14,6182.70344,8463.289986,27460.67495,30055.66372,28361.02495,10252.7,27460.67495,41223.52579,92.21601784,76.27104525,26726,65642.75,10584.4175,341566.47,19673.72694,35680,1379753.4,45.01749992,96.48685458
05/04/2010,15,6237.23625,8389.5,29006.25,30372.01374,28113.75,11779.3,29006.25,41710.1748,96.90265487,76.41775457,29695.5,141434.25,3451.09,340748.34,19963.63296,36140,1590925,44.625,94.16804566
12/04/2010,16,6543.607282,8315.239914,28749.4997,31059.91565,31624.44967,11779.3,28749.4997,43656.77084,96.90265487,76.41775457,29695.5,141434.25,3451.09,340748.34,21123.25704,37980,1590925,44.22999954,94.16804566
19/04/2010,17,6950.930872,8370.324135,30275.64049,32049.11449,31388.71551,11779.3,30275.64049,43656.77084,96.90265487,76.41775457,29695.5,141434.25,3451.09,340748.34,21123.25704,37980,1590925,44.52300072,94.16804566
26/04/2010,18,7273.339725,8322.760086,29660.90031,32648.41702,31653.05033,11779.3,29660.90031,45116.71786,96.90265487,76.41775457,29695.5,141434.25,3451.09,340748.34,21992.9751,39360,1590925,44.27000046,94.16804566
03/05/2010,19,7641.973233,8330.092003,29687.03001,33385.87444,31680.93501,11978.2,29687.03001,44630.06886,93.30730619,77.61126786,20786.8,169042.25,4839.105,342443.03,21703.06908,38900,1272740,44.30900002,113.867944
10/05/2010,20,7651.406924,8477.013977,30210.63492,34377.87186,32239.70741,11978.2,30210.63492,44630.06886,93.30730619,77.61126786,20786.8,169042.25,4839.105,342443.03,21703.06908,38900,1272740,45.09049988,113.867944
17/05/2010,21,7572.539703,8529.371902,30397.22965,34015.26082,32438.83463,11978.2,30397.22965,44630.06886,93.30730619,77.61126786,20786.8,169042.25,4839.105,342443.03,21703.06908,38900,1272740,45.36899948,113.867944
24/05/2010,22,7691.788373,8810.43206,31398.88021,34581.83625,33507.76023,11978.2,31398.88021,44630.06886,93.30730619,77.61126786,20786.8,169042.25,4839.105,342443.03,21703.06908,38900,1272740,46.86400032,113.867944
31/05/2010,23,7477.443116,8712.484077,28732.66026,34092.56192,30470.52277,11978.2,28732.66026,44630.06886,93.30730619,77.61126786,20786.8,169042.25,4839.105,342443.03,21703.06908,38900,1272740,46.34300041,113.867944
07/06/2010,24,7389.897249,8803.852089,29033.98029,34854.71266,30790.06781,12094.48,29033.98029,42196.82381,96.98492462,78.8256701,29695.5,132615.5,10942.855,324561.19,20253.53898,36600,1590925,46.82900047,151.3790616
